Timestamp,What programming languages do you have experience in?,How many years have you been programming?
26/09/2023 09:07:49,"Python, Java, JavaScript, PHP, SQL, C, Ruby, Go, Objective-C, Perl",> 20
26/09/2023 09:07:56,"Python, JavaScript, SQL",1 - 5
26/09/2023 09:08:10,"Python, SQL, C",1 - 5
26/09/2023 09:08:10,"Python, Java, JavaScript, TypeScript, SQL, C#, Ruby, Go, Rust, Visual Basic, Perl, Lisp, Assembly, Scala, Lua, Haskell, Clojure",> 20
26/09/2023 09:08:26,"Python, Ruby, Go",5 - 10
26/09/2023 09:09:23,"Python, Fortran",15 - 20
26/09/2023 09:09:38,"Python, Ruby, Go",5 - 10
26/09/2023 09:11:30,Python,1 - 5
26/09/2023 09:12:06,"Python, JavaScript, SQL, Ruby",5 - 10
26/09/2023 09:12:47,Python,1 - 5
26/09/2023 09:13:37,"Python, Java, JavaScript, TypeScript, PHP, SQL, C, C++, C#, R, Matlab, Objective-C, Swift, Visual Basic, Perl, Assembly, Scala, Delphi, Pascal",15 - 20
26/09/2023 09:21:30,Python,1 - 5
26/09/2023 09:23:09,"Python, R, Matlab",> 20
26/09/2023 09:47:16,"Python, Ruby",5 - 10
