"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2023/05/17 3:37:31 pm GMT-6","Python;Java;JavaScript;C;Ruby;R","10 - 15"
"2023/05/17 3:37:46 pm GMT-6","Python;Java","1 - 5"
"2023/05/17 3:37:53 pm GMT-6","Python;JavaScript","1 - 5"
"2023/05/17 3:38:03 pm GMT-6","Python","< 1"
"2023/05/20 11:54:24 am GMT-6","Python;Java;JavaScript;Visual Basic;Perl","10 - 15"
"2023/05/22 1:54:11 am GMT-6","Python;Java;SQL;C;C++;R;Matlab;Visual Basic;Assembly","10 - 15"
"2023/05/22 3:10:35 pm GMT-6","Python","< 1"
"2023/05/23 7:58:29 am GMT-6","Python;Java;JavaScript;C;C++;R;Fortran","> 20"
"2023/05/23 1:54:23 pm GMT-6","SQL","5 - 10"
"2023/05/24 8:42:46 am GMT-6","Python;Java;JavaScript;SQL;R;Visual Basic;Perl;Fortran;Lisp;Pascal","10 - 15"
"2023/05/24 8:49:05 am GMT-6","Python;Java;JavaScript;SQL;C;Visual Basic","> 20"
"2023/05/24 9:02:40 am GMT-6","Python;SQL;Visual Basic","1 - 5"
"2023/05/24 9:16:53 am GMT-6","C;C++","5 - 10"
"2023/05/24 9:51:12 am GMT-6","Java;C;C++","10 - 15"
"2023/05/24 9:58:05 am GMT-6","Python;JavaScript;TypeScript;PHP;Go","10 - 15"
"2023/05/24 9:59:29 am GMT-6","Python;JavaScript;SQL","1 - 5"
"2023/05/24 10:02:12 am GMT-6","Python;Java;SQL;C;Perl;Lisp","> 20"
"2023/05/24 10:06:18 am GMT-6","Java;JavaScript;SQL;C;C++;C#","> 20"
"2023/05/24 10:14:52 am GMT-6","Python;C++;R","10 - 15"
"2023/05/24 10:14:52 am GMT-6","Python;JavaScript;PHP;SQL;C;C++;Ruby;Go;Visual Basic;Assembly;Pascal","> 20"
"2023/05/24 10:14:56 am GMT-6","Python;C;C++;C#","1 - 5"
"2023/05/24 10:15:00 am GMT-6","C;C++;C#","10 - 15"
"2023/05/24 10:15:00 am GMT-6","Python;Java;C;C++;C#;Visual Basic;Fortran;Lisp;Assembly;Pascal","10 - 15"
"2023/05/24 10:15:04 am GMT-6","Java;JavaScript;TypeScript;SQL","1 - 5"
"2023/05/24 10:15:05 am GMT-6","Python;Java;JavaScript;TypeScript;SQL;C;Cobol","15 - 20"
"2023/05/24 10:15:09 am GMT-6","Java;SQL;Fortran","> 20"
"2023/05/24 10:15:14 am GMT-6","Python;SQL;C;C++;Go;Visual Basic;Assembly;Delphi;Pascal","10 - 15"
"2023/05/24 10:15:21 am GMT-6","Java;JavaScript;SQL;C#;Visual Basic","15 - 20"
"2023/05/24 10:15:22 am GMT-6","Python;Java;JavaScript;TypeScript;PHP;SQL;C;C++;C#;Go;Rust;Objective-C;Swift;Visual Basic;Perl;Cobol;Fortran;Lisp;Assembly;Julia;Clojure;Pascal","> 20"
"2023/05/24 10:15:39 am GMT-6","SQL;C;C++;R;Perl;Fortran;Pascal","> 20"
"2023/05/24 10:15:57 am GMT-6","Python;Java;JavaScript;TypeScript;PHP;Objective-C;Visual Basic;Kotlin","15 - 20"
"2023/05/24 10:16:27 am GMT-6","Python;SQL;R;Visual Basic","1 - 5"
"2023/05/24 10:16:59 am GMT-6","Python;Java;JavaScript;TypeScript;SQL;Ruby;Assembly;Kotlin;Clojure","> 20"
"2023/05/24 10:29:18 am GMT-6","Python;JavaScript;PHP;SQL;Visual Basic;Fortran;Delphi;Pascal","> 20"
"2023/05/24 10:31:07 am GMT-6","Python;JavaScript;SQL;Go;Perl","1 - 5"
"2023/05/24 10:31:14 am GMT-6","Python;SQL","15 - 20"
"2023/05/24 10:31:27 am GMT-6","Python;Java;JavaScript;SQL;C;Perl;Cobol","> 20"
"2023/05/24 10:31:29 am GMT-6","Python;JavaScript;SQL;Visual Basic","1 - 5"
"2023/05/24 10:31:38 am GMT-6","Python;Swift","< 1"
"2023/05/24 10:31:39 am GMT-6","Python;SQL;Visual Basic;Cobol;Clojure","1 - 5"
"2023/05/24 10:32:21 am GMT-6","Python;Java;JavaScript;SQL;C;C++;Swift;Lisp;Assembly;Dart;Lua;Haskell;Julia;Clojure;Elixir;Pascal","> 20"
"2023/05/24 12:10:24 pm GMT-6","Java;JavaScript;SQL","1 - 5"
