Timestamp,What programming languages do you have experience in?,How many years have you been programming?
1/25/2023 13:47:57,Python,
1/25/2023 13:48:18,Python,
2/20/2023 10:52:08,"Python, JavaScript, TypeScript, C, Swift",
5/17/2023 14:00:08,"Python, Java, JavaScript, R",1 - 5
5/17/2023 14:00:15,Python,< 1
5/17/2023 14:00:30,JavaScript,5 - 10
5/17/2023 14:31:32,"Python, Java, Ruby",10 - 15
5/17/2023 14:37:31,"Python, Java, JavaScript, C, Ruby, R",10 - 15
5/17/2023 14:37:46,"Python, Java",1 - 5
5/17/2023 14:37:54,"Python, JavaScript",1 - 5
5/17/2023 14:38:03,Python,< 1
5/20/2023 10:54:25,"Python, Java, JavaScript, Visual Basic, Perl",10 - 15
5/22/2023 0:54:11,"Python, Java, SQL, C, C++, R, Matlab, Visual Basic, Assembly",10 - 15
5/22/2023 14:10:36,Python,< 1
5/23/2023 6:58:30,"Python, Java, JavaScript, C, C++, R, Fortran",> 20
5/23/2023 12:54:23,SQL,5 - 10
5/24/2023 7:42:46,"Python, Java, JavaScript, SQL, R, Visual Basic, Perl, Fortran, Lisp, Pascal",10 - 15
5/24/2023 7:49:05,"Python, Java, JavaScript, SQL, C, Visual Basic",> 20
5/24/2023 8:02:40,"Python, SQL, Visual Basic",1 - 5
5/24/2023 8:16:54,"C, C++",5 - 10
5/24/2023 8:51:13,"Java, C, C++",10 - 15
5/24/2023 8:58:05,"Python, JavaScript, TypeScript, PHP, Go",10 - 15
5/24/2023 8:59:29,"Python, JavaScript, SQL",1 - 5
5/24/2023 9:02:12,"Python, Java, SQL, C, Perl, Lisp",> 20
5/24/2023 9:06:19,"Java, JavaScript, SQL, C, C++, C#",> 20
5/24/2023 9:14:53,"Python, C++, R",10 - 15
5/24/2023 9:14:53,"Python, JavaScript, PHP, SQL, C, C++, Ruby, Go, Visual Basic, Assembly, Pascal",> 20
5/24/2023 9:14:56,"Python, C, C++, C#",1 - 5
5/24/2023 9:15:00,"C, C++, C#",10 - 15
5/24/2023 9:15:01,"Python, Java, C, C++, C#, Visual Basic, Fortran, Lisp, Assembly, Pascal",10 - 15
5/24/2023 9:15:05,"Java, JavaScript, TypeScript, SQL",1 - 5
5/24/2023 9:15:06,"Python, Java, JavaScript, TypeScript, SQL, C, Cobol",15 - 20
5/24/2023 9:15:10,"Java, SQL, Fortran",> 20
5/24/2023 9:15:14,"Python, SQL, C, C++, Go, Visual Basic, Assembly, Delphi, Pascal",10 - 15
5/24/2023 9:15:21,"Java, JavaScript, SQL, C#, Visual Basic",15 - 20
5/24/2023 9:15:23,"Python, Java, JavaScript, TypeScript, PHP, SQL, C, C++, C#, Go, Rust, Objective-C, Swift, Visual Basic, Perl, Cobol, Fortran, Lisp, Assembly, Julia, Clojure, Pascal",> 20
