"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2023/09/26 10:07:49 am GMT-6","Python;Java;JavaScript;PHP;SQL;C;Ruby;Go;Objective-C;Perl","> 20"
"2023/09/26 10:07:56 am GMT-6","Python;JavaScript;SQL","1 - 5"
"2023/09/26 10:08:10 am GMT-6","Python;SQL;C","1 - 5"
"2023/09/26 10:08:10 am GMT-6","Python;Java;JavaScript;TypeScript;SQL;C#;Ruby;Go;Rust;Visual Basic;Perl;Lisp;Assembly;Scala;Lua;Haskell;Clojure","> 20"
"2023/09/26 10:08:25 am GMT-6","Python;Ruby;Go","5 - 10"
"2023/09/26 10:09:23 am GMT-6","Python;Fortran","15 - 20"
"2023/09/26 10:09:38 am GMT-6","Python;Ruby;Go","5 - 10"
"2023/09/26 10:11:29 am GMT-6","Python","1 - 5"
"2023/09/26 10:12:05 am GMT-6","Python;JavaScript;SQL;Ruby","5 - 10"
"2023/09/26 10:12:46 am GMT-6","Python","1 - 5"
"2023/09/26 10:13:36 am GMT-6","Python;Java;JavaScript;TypeScript;PHP;SQL;C;C++;C#;R;Matlab;Objective-C;Swift;Visual Basic;Perl;Assembly;Scala;Delphi;Pascal","15 - 20"
"2023/09/26 10:21:29 am GMT-6","Python","1 - 5"
"2023/09/26 10:23:08 am GMT-6","Python;R;Matlab","> 20"
"2023/09/26 10:47:15 am GMT-6","Python;Ruby","5 - 10"
"2023/11/01 9:12:44 am GMT-6","Python","1 - 5"
"2023/11/01 11:12:30 am GMT-6","Python;SQL;C;C++;Objective-C;Perl;Assembly;Delphi;Pascal","> 20"
"2023/11/02 12:31:35 am GMT-6","Python;Java;SQL;C#","1 - 5"
"2023/11/02 8:00:55 am GMT-6","Python;R;Visual Basic","1 - 5"
"2023/11/02 8:26:27 am GMT-6","Python;JavaScript;SQL;Perl","10 - 15"
"2023/11/02 9:26:48 am GMT-6","Python;C;Perl","> 20"
"2023/11/02 10:10:14 am GMT-6","Python;Java;JavaScript;TypeScript;C;C++","15 - 20"
"2023/11/02 10:10:22 am GMT-6","JavaScript;PHP;SQL","< 1"
"2023/11/02 10:10:25 am GMT-6","SQL","15 - 20"
"2023/11/02 10:10:30 am GMT-6","Python;Java;C;Matlab;Perl","5 - 10"
"2023/11/02 10:10:33 am GMT-6","Python;Java;JavaScript;SQL;Go","5 - 10"
"2023/11/02 10:10:37 am GMT-6","Python","1 - 5"
"2023/11/02 10:10:38 am GMT-6","Python;SQL;Matlab","< 1"
"2023/11/02 10:10:39 am GMT-6","Python;JavaScript;SQL;Perl","10 - 15"
"2023/11/02 10:10:47 am GMT-6","Python;SQL;R","1 - 5"
"2023/11/02 10:10:50 am GMT-6","Python;Perl;Pascal","5 - 10"
"2023/11/02 10:10:54 am GMT-6","Python;C;C++;Perl","> 20"
"2023/11/02 10:11:03 am GMT-6","SQL;C;C++;Delphi;Pascal","5 - 10"
"2023/11/02 10:11:05 am GMT-6","Python;Java;JavaScript;PHP;C;C++;Matlab;Assembly;Pascal","> 20"
"2023/11/02 10:11:11 am GMT-6","C;C++;Perl;Assembly;Pascal","5 - 10"
"2023/11/02 10:11:12 am GMT-6","Python;Java;PHP;SQL;C;C++;Perl;Lisp;Assembly;Scala;Lua;Haskell;Pascal","> 20"
"2023/11/02 10:11:13 am GMT-6","Python;C++;Matlab","15 - 20"
"2023/11/02 10:11:16 am GMT-6","Python;Java;PHP;Perl","5 - 10"
"2023/11/02 10:11:18 am GMT-6","Python;JavaScript;C#","1 - 5"
"2023/11/02 10:11:38 am GMT-6","Python;JavaScript;C;C++;Matlab;Lisp;Assembly;Haskell","1 - 5"
"2023/11/02 10:11:44 am GMT-6","Python;SQL","< 1"
"2023/11/02 10:11:44 am GMT-6","JavaScript;C;C++","1 - 5"
"2023/11/02 10:14:07 am GMT-6","Python;Java;JavaScript;C;C++;C#","> 20"
"2023/11/02 10:23:50 am GMT-6","Python;Java;C;Perl;Scala;Pascal","> 20"
"2023/11/02 10:25:38 am GMT-6","Java;C;C++","10 - 15"
"2023/11/02 10:25:42 am GMT-6","Python;PHP;SQL;C;Perl;Pascal","> 20"
"2023/11/02 10:26:27 am GMT-6","Python;Java;C;C++;Ruby;Matlab;Perl;Lisp;Assembly","> 20"
"2023/11/02 10:26:33 am GMT-6","Java;C;C++","15 - 20"
"2023/11/02 11:59:02 am GMT-6","Python;C;Assembly;Kotlin;Delphi;Pascal","> 20"
