"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/01/30 8:40:43 am GMT-8","Python;SQL","1 - 5"
"2024/01/30 8:45:28 am GMT-8","Python","5 - 10"
"2024/01/30 9:02:42 am GMT-8","Python","1 - 5"
"2024/01/30 9:02:59 am GMT-8","Java;JavaScript;SQL;C;C++;Visual Basic;Perl;Cobol;Fortran;Assembly;Pascal","> 20"
"2024/01/30 9:03:28 am GMT-8","Python;Perl","> 20"
"2024/01/30 9:03:35 am GMT-8","JavaScript;TypeScript;PHP;SQL;C++;Visual Basic;Perl","> 20"
"2024/01/30 9:03:37 am GMT-8","Python;Java;C++;Perl","1 - 5"
"2024/01/30 9:03:49 am GMT-8","Python;Java;JavaScript;TypeScript;PHP;SQL;Ruby;R;Objective-C;Swift;Perl;Kotlin;Dart","> 20"
"2024/01/30 9:06:50 am GMT-8","Python;Java;JavaScript;SQL;C;C++;Matlab;Visual Basic;Cobol;Fortran;Assembly","> 20"
"2024/01/30 9:10:51 am GMT-8","Java;JavaScript","15 - 20"
"2024/01/30 9:14:33 am GMT-8","Python;Java;JavaScript;SQL;C;C++","15 - 20"
"2024/01/30 9:26:37 am GMT-8","Python;SQL;C;R","1 - 5"
"2024/01/30 9:26:50 am GMT-8","Java;C++","15 - 20"
"2024/01/30 9:27:18 am GMT-8","SQL;R","1 - 5"
"2024/01/30 9:27:28 am GMT-8","Python;Java",""
"2024/01/30 9:27:44 am GMT-8","Ruby;Fortran;Lisp","5 - 10"
"2024/01/30 9:28:46 am GMT-8","Python;Java;C#;Ruby;Visual Basic;Cobol;Pascal","> 20"
"2024/01/30 9:30:13 am GMT-8","SQL","10 - 15"
"2024/01/30 9:36:15 am GMT-8","Python;Java;JavaScript;C;Rust","10 - 15"
"2024/01/30 10:45:33 am GMT-8","Python;JavaScript;Perl","1 - 5"
"2024/01/30 10:45:55 am GMT-8","Java;SQL;C#","10 - 15"
"2024/01/30 10:46:07 am GMT-8","Python;Java","1 - 5"
"2024/01/30 10:46:24 am GMT-8","Python;JavaScript;SQL;C","1 - 5"
"2024/01/30 10:48:04 am GMT-8","Python;SQL;C;C++","1 - 5"
"2024/01/30 10:48:28 am GMT-8","Python;Java;JavaScript","1 - 5"
