"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/06/28 2:57:21 pm GMT-6","Python;Java;JavaScript;SQL;C;Ruby;R;Objective-C","15 - 20"
"2024/06/30 8:29:25 pm GMT-6","Python;JavaScript;SQL;R;Visual Basic","1 - 5"
"2024/07/02 9:47:15 am GMT-6","Python;JavaScript;C;C++;Matlab","1 - 5"
"2024/07/02 10:05:35 am GMT-6","Python","1 - 5"
"2024/07/02 10:05:37 am GMT-6","Java","1 - 5"
"2024/07/02 10:05:41 am GMT-6","Python;SQL","15 - 20"
"2024/07/02 10:05:54 am GMT-6","Python;Java;Go;Perl;Elixir","> 20"
"2024/07/02 10:06:02 am GMT-6","Python;Matlab;Perl;Lisp;Assembly","> 20"
"2024/07/02 10:06:10 am GMT-6","Python;JavaScript;PHP;SQL;Go","5 - 10"
"2024/07/02 10:06:13 am GMT-6","Python;Java;JavaScript;TypeScript","10 - 15"
"2024/07/02 10:06:19 am GMT-6","Python","1 - 5"
"2024/07/02 10:07:04 am GMT-6","Python;C;C++;Matlab","1 - 5"
"2024/07/02 10:08:00 am GMT-6","Python;Java;JavaScript;C;C++;Ruby;R;Go;Perl;Fortran;Lisp;Assembly;Lua;Haskell;Pascal","> 20"
"2024/07/02 10:08:53 am GMT-6","Python;Java;C++;C#;Go;Perl;Fortran;Assembly;Scala","10 - 15"
"2024/07/02 10:12:08 am GMT-6","Python;Java;SQL;C;C++;C#;Visual Basic;Fortran;Lisp;Pascal","> 20"
"2024/07/02 10:12:40 am GMT-6","SQL;Cobol","15 - 20"
"2024/07/02 10:22:28 am GMT-6","Python;SQL;R","< 1"
"2024/07/02 10:22:44 am GMT-6","Python;Java;C;Lua","< 1"
"2024/07/02 11:28:53 am GMT-6","SQL","10 - 15"
"2024/07/02 11:29:10 am GMT-6","JavaScript","1 - 5"
"2024/07/02 11:29:50 am GMT-6","Python;Java","1 - 5"
"2024/07/02 11:31:47 am GMT-6","Python;Java;JavaScript;SQL;C","1 - 5"
