"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/02/29 8:17:01 pm GMT-7","Python;C","5 - 10"
"2024/03/25 7:35:39 pm GMT-6","Python;JavaScript;C;Perl","15 - 20"
"2024/03/25 8:23:58 pm GMT-6","Python","< 1"
"2024/03/26 3:13:46 am GMT-6","Python;SQL","1 - 5"
"2024/03/26 7:40:45 am GMT-6","Python;Java;JavaScript;SQL;C;C++;Perl;Kotlin;Pascal","> 20"
"2024/03/26 8:37:35 am GMT-6","Python;C","< 1"
"2024/03/26 9:27:38 am GMT-6","C++","10 - 15"
"2024/03/26 10:03:59 am GMT-6","Python;PHP;SQL;Visual Basic","1 - 5"
"2024/03/26 10:04:01 am GMT-6","Python;JavaScript;SQL;R","1 - 5"
"2024/03/26 10:04:02 am GMT-6","Python;Java;JavaScript;TypeScript;SQL;C;R;Perl;Lisp;Haskell","> 20"
"2024/03/26 10:04:10 am GMT-6","Java;SQL;C;C#;Assembly","> 20"
"2024/03/26 10:04:23 am GMT-6","Python;SQL","1 - 5"
"2024/03/26 10:04:32 am GMT-6","Python;SQL;C;C++;Perl","5 - 10"
"2024/03/26 10:04:37 am GMT-6","Python;SQL;C;C++;C#;Visual Basic;Pascal","> 20"
"2024/03/26 10:04:37 am GMT-6","Java","1 - 5"
"2024/03/26 10:04:38 am GMT-6","Python;Java;JavaScript;SQL;C","15 - 20"
"2024/03/26 10:04:48 am GMT-6","Python;JavaScript;SQL","1 - 5"
"2024/03/26 10:04:52 am GMT-6","C;C++","> 20"
"2024/03/26 10:04:55 am GMT-6","Java;SQL","> 20"
"2024/03/26 10:05:05 am GMT-6","Java;Kotlin","10 - 15"
"2024/03/26 10:05:26 am GMT-6","Python;SQL;C++;Perl;Cobol;Pascal","> 20"
"2024/03/26 10:05:32 am GMT-6","Python;SQL;C;C++;C#;Matlab;Pascal","15 - 20"
"2024/03/26 10:05:48 am GMT-6","Python;SQL;Visual Basic","> 20"
"2024/03/26 10:11:25 am GMT-6","Python;C;C++;C#;Matlab;Perl","5 - 10"
"2024/03/26 10:32:14 am GMT-6","Python;PHP;SQL;Visual Basic","1 - 5"
"2024/03/26 10:34:02 am GMT-6","Python;Java;C;C++;Perl","5 - 10"
"2024/03/26 10:35:29 am GMT-6","Java;SQL;C++","10 - 15"
