"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/05/14 5:22:21 am GMT-6","Python;SQL","1 - 5"
"2024/05/17 10:13:04 am GMT-6","Python;C++","1 - 5"
"2024/05/19 11:55:24 pm GMT-6","Python;SQL;C++;R;Matlab","1 - 5"
"2024/05/21 9:57:33 am GMT-6","Python;Java","1 - 5"
"2024/05/21 10:01:48 am GMT-6","Python;SQL;Perl","15 - 20"
"2024/05/21 10:15:30 am GMT-6","Python","< 1"
"2024/05/21 10:20:01 am GMT-6","Java","5 - 10"
"2024/05/21 10:20:11 am GMT-6","SQL","< 1"
"2024/05/21 10:20:47 am GMT-6","Python;Java;C;C++;Go;Cobol","> 20"
"2024/05/21 10:21:19 am GMT-6","JavaScript","< 1"
"2024/05/21 10:21:52 am GMT-6","Python","< 1"
"2024/05/21 10:21:56 am GMT-6","Python;Java;SQL;C;R","1 - 5"
"2024/05/21 10:22:01 am GMT-6","Python;Java;JavaScript;TypeScript;PHP;SQL;C;C++;C#;R;Go;Objective-C;Swift;Perl;Cobol;Assembly;Kotlin","10 - 15"
"2024/05/21 10:22:01 am GMT-6","Python;Java;JavaScript;PHP;SQL;C;C++;Cobol","5 - 10"
"2024/05/21 10:22:09 am GMT-6","Python;Java;JavaScript;TypeScript;SQL","10 - 15"
"2024/05/21 10:22:42 am GMT-6","Python","1 - 5"
"2024/05/21 10:23:00 am GMT-6","Python;SQL","< 1"
"2024/05/21 10:31:44 am GMT-6","Python;SQL","< 1"
"2024/05/21 11:22:40 am GMT-6","Python","< 1"
