"Timestamp","What programming languages do you have experience in?","How many years have you been programming?"
"2024/06/28 2:57:21 pm GMT-6","Python;Java;JavaScript;SQL;C;Ruby;R;Objective-C","15 - 20"
"2024/06/30 8:29:25 pm GMT-6","Python;JavaScript;SQL;R;Visual Basic","1 - 5"
"2024/07/02 9:47:15 am GMT-6","Python;JavaScript;C;C++;Matlab","1 - 5"
"2024/07/02 10:05:35 am GMT-6","Python","1 - 5"
"2024/07/02 10:05:37 am GMT-6","Java","1 - 5"
"2024/07/02 10:05:41 am GMT-6","Python;SQL","15 - 20"
"2024/07/02 10:05:54 am GMT-6","Python;Java;Go;Perl;Elixir","> 20"
"2024/07/02 10:06:02 am GMT-6","Python;Matlab;Perl;Lisp;Assembly","> 20"
"2024/07/02 10:06:10 am GMT-6","Python;JavaScript;PHP;SQL;Go","5 - 10"
"2024/07/02 10:06:13 am GMT-6","Python;Java;JavaScript;TypeScript","10 - 15"
"2024/07/02 10:06:19 am GMT-6","Python","1 - 5"
"2024/07/02 10:07:04 am GMT-6","Python;C;C++;Matlab","1 - 5"
"2024/07/02 10:08:00 am GMT-6","Python;Java;JavaScript;C;C++;Ruby;R;Go;Perl;Fortran;Lisp;Assembly;Lua;Haskell;Pascal","> 20"
"2024/07/02 10:08:53 am GMT-6","Python;Java;C++;C#;Go;Perl;Fortran;Assembly;Scala","10 - 15"
"2024/07/02 10:12:08 am GMT-6","Python;Java;SQL;C;C++;C#;Visual Basic;Fortran;Lisp;Pascal","> 20"
"2024/07/02 10:12:40 am GMT-6","SQL;Cobol","15 - 20"
"2024/07/02 10:22:28 am GMT-6","Python;SQL;R","< 1"
"2024/07/02 10:22:44 am GMT-6","Python;Java;C;Lua","< 1"
"2024/07/02 11:28:53 am GMT-6","SQL","10 - 15"
"2024/07/02 11:29:10 am GMT-6","JavaScript","1 - 5"
"2024/07/02 11:29:50 am GMT-6","Python;Java","1 - 5"
"2024/07/02 11:31:47 am GMT-6","Python;Java;JavaScript;SQL;C","1 - 5"
"2024/07/02 12:09:33 pm GMT-6","Python;Java;JavaScript;SQL;Go","> 20"
"2024/11/06 9:51:24 am GMT-7","","< 1"
"2024/11/06 9:51:29 am GMT-7","Python","< 1"
"2024/11/06 9:59:42 am GMT-7","Python;JavaScript;Ruby;Go","10 - 15"
"2024/11/06 10:02:12 am GMT-7","Python;C;C++;Matlab;Perl;Lisp","10 - 15"
"2024/11/06 10:02:26 am GMT-7","Python","1 - 5"
"2024/11/06 10:02:49 am GMT-7","Python;Java;SQL;C;Cobol","> 20"
"2024/11/06 10:03:01 am GMT-7","Python;Java;TypeScript;C++;R;Perl;Haskell;Pascal","> 20"
"2024/11/06 10:03:25 am GMT-7","Python;Java;JavaScript;SQL","> 20"
"2024/11/06 10:03:44 am GMT-7","Python;Java;JavaScript;TypeScript;PHP;SQL","15 - 20"
"2024/11/06 10:08:58 am GMT-7","Python;Java;SQL","< 1"
"2024/11/06 10:22:57 am GMT-7","Python;Perl","10 - 15"
"2024/11/06 12:25:27 pm GMT-7","SQL","10 - 15"
"2024/11/06 2:04:15 pm GMT-7","Python;Java;JavaScript;PHP;SQL;C++;C#;Ruby;R;Visual Basic","15 - 20"
"2025/02/14 10:18:39 pm GMT-7","Python;PHP;Visual Basic;Delphi;Pascal","10 - 15"
"2025/03/11 4:31:30 am GMT-6","Python;Java;JavaScript;SQL;C;C++","> 20"
"2025/03/11 1:02:59 pm GMT-6","Python;C;Perl","> 20"
"2025/03/11 8:07:20 pm GMT-6","","< 1"
"2025/03/12 8:27:19 am GMT-6","Python;Java;SQL;C;C++","1 - 5"
"2025/03/12 9:05:00 am GMT-6","Python;Java;JavaScript;TypeScript;PHP;SQL;C;C++;C#;Visual Basic;Perl;Fortran;Pascal","> 20"
"2025/03/12 9:20:45 am GMT-6","C;C#","1 - 5"
"2025/03/12 9:50:46 am GMT-6","Python;JavaScript;SQL;C;C++;C#;Pascal","1 - 5"
"2025/03/12 10:26:01 am GMT-6","Python;C;R;Visual Basic;Perl","1 - 5"
"2025/06/05 9:34:29 am GMT-6","Python","1 - 5"
"2025/06/08 8:32:52 am GMT-6","Python;PHP;SQL;C++;Perl","1 - 5"
"2025/06/09 5:45:15 am GMT-6","Python","< 1"
"2025/06/09 11:40:46 am GMT-6","SQL;C;C++","1 - 5"
